Milliy hisoblar, yillik;2010y.;2011y.;2012y.;2013y.;2014y.;2015y.;2016y.;2017y.;2018y.;
Ishlab chiqaradigan sanoat                                                  ;108.9;108.1;106.3;112.5;108.0;105.9;106.7;104.2;107.9;
Elektr,  gaz, bug` bilan ta`minlash va havoni  konditsiyalash                                                  ;118.5;97.0;96.3;101.0;104.1;105.1;103.6;95.5;103.1;
Suv bilan ta`minlash; kanalizatsiya tizimi, chiqindilarni yig`ish va utilizatsiya qilish                                                  ;118.6;116.1;105.6;107.5;112.0;106.8;110.0;108.0;111.3
Qurilish;104.2;108.1;114.5;118.4;117.6;118.8;107.2;106.0;114.3;
Savdo, yashash va ovqatlanish bo`yicha xizmatlar                                                  ;116.5;115.7;107.3;113.8;110.5;111.3;109.3;102.1;105.4;
Ulgurji va chakana savdo;  motorli transport vositalari va  mototsikllarni ta`mirlash                                                  ;116.3;115.5;107.2;114.1;110.0;110.8;108.7;101.0;105.1
Yashash va ovqatlanish bo`yicha xizmatlar                                                  ;118.3;118.0;108.6;111.1;115.4;116.4;115.4;112.7;107.7;
Tashish va saqlash, axborot va aloqa                                                                ;112.6;111.2;111.1;103.4;106.9;106.1;105.5;111.3;106.9;
Tashish va saqlash                                                  ;108.5;105.9;106.7;103.1;104.6;104.0;103.6;108.8;104.4;
Axborot va aloqa                                                  ;130.9;137.3;133.0;104.7;118.1;115.9;114.1;121.1;115.5;
Boshqa turdagi xizmatlar ko`rsatish                                                  ;106.8;109.2;107.9;107.2;108.2;108.2;105.5;105.9;104.8;
Mahsulotlarga sof soliqlar;104.1;106.6;104.3;106.7;106.1;106.5;105.7;105.7;105.9;
Joriy narxlarda yakuniy iste'mol usulida hisoblangan yalpi ichki mahsulot, milliy valyutada, mird. so`m;74,042.0;96,949.6;120,242.0;144,548.3;177,153.9;210,183.1;242,495.5;302,536.8;406,648.5;
Yakuniy iste'mol хarajatlari;52,100.3;66,664.8;85,073.0;107,041.5;131,170.6;159,146.3;188,840.1;221,063.7;284,683.7;
Uy xo'jaliklari;41,530.2;53,461.4;68,298.8;85,485.3;104,930.1;127,249.2;150,644.0;178,585.6;223,635.1;
Davlat boshqaruvi organlari;9,871.2;12,355.4;15,775.8;20,421.7;24,745.9;30,141.1;36,116.6;39,987.9;57,179.4;
Uy xo'jaliklariga xizmat ko'rsatuvchi notijorat tashkilotlari;698.9;848.0;998.5;1,134.6;1,494.6;1,756.1;2,079.6;2,490.2;3,869.2;
Yalpi jamg`arish;19,608.3;25,822.9;30,840.7;36,804.3;46,884.3;54,784.2;63,946.4;89,167.0;153,072.7;
Asosiy kapitalning yalpi jamg'arilishi;17,832.3;21,456.2;26,659.8;33,363.2;41,448.8;48,897.7;55,371.8;77,308.8;133,906.0;
Tovar moddiy zaxiralarining o'zgarishi;1,776.0;4,366.6;4,180.9;3,441.0;5,435.5;5,886.5;8,574.6;11,858.2;19,166.7;
Tovarlar va xizmatlar eksport-import saldosi;6,049.9;6,258.2;1,524.4;859.7;-857.0;468.8;15.0;-6,282.8;-42,874.9;
Tovarlar va xizmatlar eksporti;20,668.1;25,716.7;25,717.3;30,099.5;31,414.3;32,225.4;36,076.8;65,956.4;114,033.4;
Tovarlar va xizmatlar importi;14,618.2;19,458.5;24,192.9;29,239.8;32,271.3;31,756.6;36,061.8;72,239.1;156,908.3;
Statistik tafovut;-3,716.5;-1,796.3;2,803.9;-157.2;-44.0;-4,216.3;-10,306.0;-1,411.1;11,767.1;
Doimiy narxlarda yakuniy iste'mol usulida hisoblangan yalpi ichki mahsulot , o'tgan yil narxlarida, milliy valyutada, mird. so`m;62,248.4;79,806.1;104,100.3;129,361.8;154,926.0;190,347.8;222,992.1;253,314.5;319,014.3;
Yakuniy iste'mol хarajatlari;44,695.9;58,657.8;73,581.5;93,440.6;118,014.7;145,448.9;172,053.8;195,294.0;233,633.7;
Uy xo'jaliklari;36,019.0;47,206.2;59,292.0;75,306.3;94,647.7;117,497.3;139,273.6;156,481.5;189,138.2;
Davlat boshqaruvi organlari;8,172.8;10,737.0;13,409.6;17,126.2;22,136.8;26,412.1;30,946.6;36,652.9;41,922.2;
Uy xo'jaliklariga xizmat ko'rsatuvchi notijorat tashkilotlari;504.0;714.5;879.9;1,008.2;1,230.2;1,539.5;1,833.6;2,159.6;2,573.3;
Yalpi jamg`arish;;;;;;;;;;
Asosiy kapitalning yalpi jamg'arilishi ;15,781.0;18,296.0;23,730.6;29,672.3;36,627.6;45,359.9;50,914.3;66,098.2;100,424.1;
Tovar moddiy zaxiralarining o'zgarishi;;;;;;;;;;
Tovarlar va xizmatlar eksport-import saldosi;;;;;;;;;;
Tovarlar va xizmatlar eksporti;17,642.4;23,191.0;24,195.3;28,576.3;27,844.6;32,147.0;35,804.7;36,545.1;72,060.3;
Tovarlar va xizmatlar importi;13,454.7;18,073.5;21,983.8;26,327.9;29,319.3;28,652.9;31,043.0;41,640.7;100,051.1;
Statistik tafovut;;;;;;;;;;
Doimiy narxlarda yakuniy iste'mol usulida hisoblangan yalpi ichki mahsulot , o'tgan yil narxlarida, foiz hisobida;107.3;107.8;107.4;107.6;107.2;107.4;106.1;104.5;105.4;
Yakuniy iste'mol хarajatlari;109.9;112.6;110.4;109.8;110.3;110.9;108.1;103.4;105.7;
Uy xo'jaliklari;110.8;113.7;110.9;110.3;110.7;112.0;109.4;103.9;105.9;
Davlat boshqaruvi organlari;107.0;108.8;108.5;108.6;108.4;106.7;102.7;101.5;104.8;
Uy xo'jaliklariga xizmat ko'rsatuvchi notijorat tashkilotlari;99.6;102.2;103.8;101.0;108.4;103.0;104.4;103.85;103.3;
Yalpi jamg`arish;;;;;;;;;;
Asosiy kapitalning yalpi jamg'arilishi;104.2;102.6;110.6;111.3;109.8;109.4;104.1;119.4;129.9;
Tovar moddiy zaxiralarining o'zgarishi;;;;;;;;;;
Tovarlar va xizmatlar eksport-import saldosi;;;;;;;;;;
Tovarlar va xizmatlar eksporti;102.0;112.2;94.1;111.1;92.5;102.3;111.1;101.3;109.3;
Tovarlar va xizmatlar importi;97.2;123.6;113.0;108.8;100.3;88.8;97.8;115.5;138.5;
Statistik tafovut;;;;;;;;;;
