Elektr,  gaz, bug` bilan ta`minlash va havoni  konditsiyalash ;118,50;97,00;96,30;101,00;104,10;105,10;103,60;95,50;103,10
Suv bilan ta`minlash kanalizatsiya tizimi, chiqindilarni yig`ish va utilizatsiya qilish ;118,60;116,10;105,60;107,50;112,00;106,80;110,00;108,00;111,30
Qurilish;104,20;108,10;114,50;118,40;117,60;118,80;107,20;106,00;114,30
Savdo, yashash va ovqatlanish bo`yicha xizmatlar ;116,50;115,70;107,30;113,80;110,50;111,30;109,30;102,10;105,40
Ulgurji va chakana savdo motorli transport vositalari va  mototsikllarni ta`mirlash ;116,30;115,50;107,20;114,10;110,00;110,80;108,70;101,00;105,10
Yashash va ovqatlanish bo`yicha xizmatlar ;118,30;118,00;108,60;111,10;115,40;116,40;115,40;112,70;107,70
Tashish va saqlash, axborot va aloqa ;112,60;111,20;111,10;103,40;106,90;106,10;105,50;111,30;106,90
Tashish va saqlash ;108,50;105,90;106,70;103,10;104,60;104,00;103,60;108,80;104,40
Axborot va aloqa ;130,90;137,30;133,00;104,70;118,10;115,90;114,10;121,10;115,50
Boshqa turdagi xizmatlar ko`rsatish ;106,80;109,20;107,90;107,20;108,20;108,20;105,50;105,90;104,80
Mahsulotlarga sof soliqlar;104,10;106,60;104,30;106,70;106,10;106,50;105,70;105,70;105,90
Joriy narxlarda yakuniy iste'mol usulida hisoblangan yalpi ichki mahsulot, milliy valyutada, mird. so`m;74042,00;96949,60;120242,00;144548,30;177153,90;210183,10;242495,50;302536,80;406648,50
Yakuniy iste'mol �arajatlari;52100,30;66664,80;85073,00;107041,50;131170,60;159146,30;188840,10;221063,70;284683,70
Uy xo'jaliklari;41530,20;53461,40;68298,80;85485,30;104930,10;127249,20;150644,00;178585,60;223635,10
Davlat boshqaruvi organlari;9871,20;12355,40;15775,80;20421,70;24745,90;30141,10;36116,60;39987,90;57179,40
Uy xo'jaliklariga xizmat ko'rsatuvchi notijorat tashkilotlari;698,90;848,00;998,50;1134,60;1494,60;1756,10;2079,60;2490,20;3869,20
Yalpi jamg`arish;19608,30;25822,90;30840,70;36804,30;46884,30;54784,20;63946,40;89167,00;153072,70
Asosiy kapitalning yalpi jamg'arilishi;17832,30;21456,20;26659,80;33363,20;41448,80;48897,70;55371,80;77308,80;133906,00
Tovar moddiy zaxiralarining o'zgarishi;1776,00;4366,60;4180,90;3441,00;5435,50;5886,50;8574,60;11858,20;19166,70
Tovarlar va xizmatlar eksport-import saldosi;6049,90;6258,20;1524,40;859,70;-857,00;468,80;15,00;-6282,80;-42874,90
Tovarlar va xizmatlar eksporti;20668,10;25716,70;25717,30;30099,50;31414,30;32225,40;36076,80;65956,40;114033,40
Tovarlar va xizmatlar importi;14618,20;19458,50;24192,90;29239,80;32271,30;31756,60;36061,80;72239,10;156908,30
Statistik tafovut;-3716,50;-1796,30;2803,90;-157,20;-44,00;-4216,30;-10306,00;-1411,10;11767,10
Doimiy narxlarda yakuniy iste'mol usulida hisoblangan yalpi ichki mahsulot , o'tgan yil narxlarida, milliy valyutada, mird. so`m;62248,40;79806,10;104100,30;129361,80;154926,00;190347,80;222992,10;253314,50;319014,30
Yakuniy iste'mol �arajatlari;44695,90;58657,80;73581,50;93440,60;118014,70;145448,90;172053,80;195294,00;233633,70
